Date/Time,Word Count,en,ru
2017.04.07-11.35.57,34,34,0
2017.04.07-11.36.29,34,34,34
2017.04.09-01.23.20,40,40,31
2017.04.09-01.36.28,52,52,40
2017.04.09-01.39.31,70,70,52
2017.04.09-01.41.48,86,86,70
2017.04.09-20.10.07,86,86,86
2017.04.09-20.14.13,86,86,86
2017.04.09-20.26.22,86,86,86
2017.04.09-20.26.30,86,86,86
2017.04.09-20.26.52,86,86,86
2017.04.09-20.26.58,86,86,86
2017.04.11-01.08.30,85,85,60
2017.04.14-19.29.00,86,86,83
2017.04.15-16.24.55,91,91,86
2017.04.17-21.33.51,94,94,91
2017.04.17-21.36.11,94,94,91
2017.04.17-21.36.20,94,94,91
2017.04.17-21.39.25,94,94,91
2017.04.17-21.40.57,94,94,91
2017.04.17-21.44.03,94,94,91
2017.04.17-21.44.10,94,94,91
2017.04.21-22.47.34,92,92,89
2017.04.30-11.50.58,102,102,92
2017.05.03-12.33.09,109,109,102
2017.05.03-12.33.18,109,109,102
2017.05.03-12.34.36,109,109,102
2017.05.03-12.36.11,110,110,102
2017.05.03-12.38.32,108,108,102
2017.05.03-12.38.41,108,108,102
2017.05.10-18.45.31,107,107,106
2017.05.27-15.17.52,135,135,107
2017.05.27-15.45.59,135,135,134
2017.06.10-22.50.06,194,194,105
2018.02.04-22.35.27,247,247,152
2018.02.04-22.35.35,247,247,152
